"URL_ID","URL","POSITIVE SCORE","NEGATIVE SCORE","POLARITY SCORE","SUBJECTIVITY SCORE","AVG SENTENCE LENGTH","PERCENTAGE OF COMPLEX WORDS","FOG INDEX","COMPLEX WORD COUNT","WORD COUNT","SYLLABLE PER WORD","PERSONAL PRONOUNS","AVG WORD LENGTH"
"bctech2098","https://insights.blackcoffer.com/data-integration-and-big-data-performance-using-elk-stack/","12","3","0.59999996","0.047770700484807","17.444444444444","0.28343949044586","7.0911535739561","89","314","2.0859872611465","4","7.1210191082803"
"bctech2099","https://insights.blackcoffer.com/web-data-connector/","9","2","0.6363635785124","0.042968749832153","17.066666666667","0.30078125","6.9469791666667","77","256","2.1640625","3","7"
"bctech2100","https://insights.blackcoffer.com/an-app-for-updating-the-email-id-of-the-user-and-stripe-refund-tool-using-retool/","14","2","0.749999953125","0.067510548238352","39.5","0.27004219409283","15.908016877637","64","237","2.084388185654","5","6.8902953586498"
"bctech2101","https://insights.blackcoffer.com/an-ai-ml-based-web-application-that-detects-the-correctness-of-text-in-a-given-video/","8","9","-0.058823525951557","0.061818181593388","39.285714285714","0.28727272727273","15.829194805195","79","275","2.0472727272727","4","6.88"
"bctech2102","https://insights.blackcoffer.com/website-tracking-and-insights-using-google-analytics-google-tag-manager/","30","3","0.81818179338843","0.054999999908333","17.142857142857","0.31","6.9811428571429","186","600","2.1","5","6.9366666666667"
"bctech2103","https://insights.blackcoffer.com/dashboard-to-track-the-analytics-of-the-website-using-google-analytics-and-google-tag-manager/","29","2","0.87096771383975","0.049441786205037","16.945945945946","0.30622009569378","6.9008664166559","192","627","2.0765550239234","3","6.9011164274322"
"bctech2104","https://insights.blackcoffer.com/power-bi-dashboard-on-operations-transactions-and-marketing-embedding-the-dashboard-to-web-app/","8","1","0.77777769135803","0.046874999755859","27.428571428571","0.35416666666667","11.113095238095","68","192","2.2604166666667","2","7.265625"
"bctech2105","https://insights.blackcoffer.com/nft-data-automation-looksrare-and-etl-tool/","15","4","0.57894733795014","0.06209150306506","16.105263157895","0.25490196078431","6.5440660474716","78","306","2.0261437908497","5","6.702614379085"
"bctech2106","https://insights.blackcoffer.com/optimize-the-data-scraper-program-to-easily-accommodate-large-files-and-solve-oom-errors/","13","4","0.52941173356402","0.068273092095289","20.75","0.31325301204819","8.4253012048193","78","249","2.1526104417671","4","7.0522088353414"
"bctech2107","https://insights.blackcoffer.com/making-a-robust-way-to-sync-data-from-airtables-to-mongodb-using-python-etl-solution/","11","6","0.29411762975779","0.054140127216114","19.625","0.2515923566879","7.9506369426752","79","314","2.0095541401274","3","6.7770700636943"
"bctech2108","https://insights.blackcoffer.com/incident-duration-prediction-infrastructure-and-real-estate/","10","2","0.66666661111112","0.042704626182546","21.615384615385","0.33096085409253","8.7785381877909","93","281","2.1850533807829","6","7.1138790035587"
"bctech2109","https://insights.blackcoffer.com/statistical-data-analysis-of-reinforced-concrete/","14","3","0.64705878546713","0.049132947834876","19.222222222222","0.3728323699422","7.8380218368658","129","346","2.2947976878613","6","7.4075144508671"
"bctech2110","https://insights.blackcoffer.com/database-normalization-segmentation-with-google-data-studio-dashboard-insights/","12","1","0.84615378106509","0.046931407772811","14.578947368421","0.28880866425993","5.9471024130724","80","277","2.1371841155235","10","7.043321299639"
"bctech2111","https://insights.blackcoffer.com/power-bi-dashboard-to-drive-insights-from-complex-data-to-generate-business-insights/","13","4","0.52941173356402","0.052469135640527","16.2","0.26851851851852","6.5874074074074","87","324","2.0493827160494","10","6.7253086419753"
"bctech2112","https://insights.blackcoffer.com/real-time-dashboard-to-monitor-infrastructure-activity-and-machines/","8","2","0.59999994000001","0.047169811098256","23.555555555556","0.35849056603774","9.5656184486373","76","212","2.2877358490566","4","7.377358490566"
"bctech2113","https://insights.blackcoffer.com/electric-vehicles-ev-load-management-system-to-forecast-energy-demand/","11","3","0.57142853061225","0.045016077025672","19.4375","0.32797427652733","7.9061897106109","102","311","2.2025723472669","9","6.9453376205788"
"bctech2114","https://insights.blackcoffer.com/power-bi-data-driven-map-dashboard/","8","1","0.77777769135803","0.05521472358764","32.6","0.3680981595092","13.187239263804","60","163","2.3128834355828","2","7.4110429447853"
"bctech2115","https://insights.blackcoffer.com/google-local-service-ads-lsa-leads-dashboard/","30","4","0.76470585986159","0.06759443326522","14.794117647059","0.26441351888668","6.0234124663782","133","503","2.0198807157058","5","6.6978131212724"
"bctech2116","https://insights.blackcoffer.com/aws-lex-voice-and-chatbot/","20","1","0.90476186167801","0.062130177330976","17.789473684211","0.2396449704142","7.2116474618499","81","338","1.9792899408284","7","6.4378698224852"
"bctech2117","https://insights.blackcoffer.com/metabridges-api-decentraland-integration/","9","3","0.49999995833334","0.036923076809467","16.25","0.28615384615385","6.6144615384615","93","325","2.0892307692308","2","6.8215384615385"
"bctech2118","https://insights.blackcoffer.com/microsoft-azure-chatbot-with-luis-language-understanding/","13","1","0.85714279591837","0.060085836651992","23.3","0.31330472103004","9.445321888412","73","233","2.2017167381974","2","7.0729613733906"
"bctech2119","https://insights.blackcoffer.com/impact-of-news-media-and-press-on-innovation-startups-and-investments/","20","5","0.599999976","0.080128204871384","13","0.26602564102564","5.3064102564103","83","312","2.0705128205128","10","6.7660256410256"
"bctech2120","https://insights.blackcoffer.com/aws-quicksight-reporting-dashboard/","15","4","0.57894733795014","0.056716417741145","22.333333333333","0.29253731343284","9.0503482587065","98","335","2.0537313432836","7","6.6925373134328"
"bctech2121","https://insights.blackcoffer.com/google-data-studio-dashboard-for-marketing-ads-and-traction-data/","20","3","0.7391304026465","0.054892601300972","20.95","0.23866348448687","8.4754653937947","100","419","1.9331742243437","10","6.5775656324582"
"bctech2122","https://insights.blackcoffer.com/gangala-in-e-commerce-big-data-etl-elt-solution-and-data-warehouse/","16","3","0.68421049030471","0.062295081762967","19.0625","0.26885245901639","7.7325409836066","82","305","2.0393442622951","10","6.7311475409836"
"bctech2123","https://insights.blackcoffer.com/big-data-solution-to-an-online-multivendor-marketplace-ecommerce-business/","27","1","0.92857139540816","0.080229226131148","29.083333333333","0.25501432664756","11.735339063992","89","349","2.0458452722063","7","6.756446991404"
"bctech2124","https://insights.blackcoffer.com/creating-a-custom-report-and-dashboard-using-the-data-got-from-atera-api/","8","1","0.77777769135803","0.047368420803324","27.142857142857","0.33684210526316","10.991879699248","64","190","2.2473684210526","4","7.1894736842105"
"bctech2125","https://insights.blackcoffer.com/azure-data-lake-and-power-bi-dashboard/","13","3","0.6249999609375","0.062745097793156","17","0.34509803921569","6.9380392156863","88","255","2.278431372549","2","7.4235294117647"
"bctech2126","https://insights.blackcoffer.com/google-data-studio-pipeline-with-gcp-mysql/","8","2","0.59999994000001","0.045045044842139","27.75","0.3018018018018","11.220720720721","67","222","2.1801801801802","3","7.1531531531532"
